Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
C MacLeod,49,47,1042,74,26.05,905,115.13,0,7,4,93,21
Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32
L Simmons,49,48,990,82,24.14,848,116.74,0,6,6,92,37
K Akmal,58,53,987,73,21,825,119.63,0,5,7,100,31
H Munsey,38,36,987,127,29.9,640,154.21,1,5,4,114,45
S Shinwari,62,55,985,61,21.88,829,118.81,0,2,2,73,37
S Anwar,32,32,971,117,33.48,770,126.1,1,6,1,75,43
S Rahman,44,43,946,80,24.89,783,120.81,0,4,2,89,28
N Zadran,57,48,918,69,30.6,663,138.46,0,3,1,60,48
J Root,32,30,893,90,35.72,707,126.3,0,5,2,92,16
M O'Dowd,36,35,866,69,26.24,718,120.61,0,6,0,83,19
E Chigumbura,54,53,852,54,19.36,597,142.71,0,3,6,58,51
E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67
S Williams,38,38,821,66,24.87,630,130.31,0,6,4,75,24
B Taylor,38,38,818,75,24.78,678,120.64,0,5,5,81,23
S Ahmed,58,41,812,89,28,641,126.67,0,3,2,79,15
L Chandimal,54,47,800,58,18.6,766,104.43,0,4,0,73,16
W Barresi,42,41,799,75,22.82,695,114.96,0,4,3,69,21
S Sarkar,46,46,791,51,17.19,648,122.06,0,1,8,81,28
A Balbirnie,37,33,790,83,25.48,593,133.22,0,4,3,94,12
P Khadka,30,29,777,106,29.88,602,129.06,1,4,3,79,26
A Fletcher,42,40,765,84,21.25,707,108.2,0,6,6,54,37
F Zaman,34,33,756,91,22.9,553,136.7,0,4,2,86,22
M Cross,43,35,755,66,26.03,593,127.31,0,5,3,77,22
J Roy,32,32,743,78,23.21,512,145.11,0,4,4,75,35
S Myburgh,33,32,741,71,24.7,635,116.69,0,5,6,82,22
C Kapugedera,43,38,703,50,22.67,591,118.95,0,1,0,58,25
M Usman,34,32,695,89,25.74,593,117.2,0,3,3,61,21
C Obuya,35,33,691,75,25.59,649,106.47,0,4,3,47,17
T Ura,23,23,671,107,37.27,476,140.96,1,4,0,54,31
P Borren,43,38,638,57,19.33,524,121.75,0,1,2,60,18
D Ramdin,71,50,636,55,18.7,551,115.42,0,1,3,51,19
C Chibhabha,33,32,621,67,19.4,570,108.94,0,5,3,72,12
M Waller,32,31,613,68,26.65,443,138.37,0,1,2,42,28
R Mustafa,38,37,605,77,16.8,521,116.12,0,2,4,71,17
J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25
J Singh,25,25,599,68,26.04,535,111.96,0,3,1,63,6
R Hendricks,22,22,593,74,26.95,487,121.76,0,4,2,71,8
D Short,20,20,592,76,32.88,490,120.81,0,4,1,66,15
M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16
D Sammy,68,52,587,42,17.26,398,147.48,0,0,3,45,31
P Collingwood,36,33,583,79,18.8,459,127.01,0,3,3,37,24
S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12
N Khan,34,32,576,62,18,478,120.5,0,2,4,51,19
Z Maqsood,29,25,542,56,25.8,481,112.68,0,2,2,66,12
B Hayat,24,24,541,122,27.05,433,124.94,1,2,2,45,20
K Sadiq,36,36,538,72,14.94,493,109.12,0,1,4,61,10
R Doeschate,22,22,533,59,44.41,400,133.25,0,3,1,27,19
R Patel,30,26,526,55,23.9,414,127.05,0,3,1,31,31
H Zazai,13,13,519,162,43.25,319,162.69,1,2,1,46,37
F Behardien,38,30,518,64,32.37,404,128.21,0,1,1,37,16
N Zadran,20,20,506,63,26.63,497,101.81,0,3,1,45,6
N Mangal,32,32,505,65,18.03,453,111.47,0,2,4,42,19
L Das,25,25,497,61,19.88,360,138.05,0,2,2,44,22
S Shafiqullah,46,42,494,51,16.46,340,145.29,0,1,5,35,31
C Anderson,31,24,485,94,24.25,351,138.17,0,2,3,30,26
G Malla,24,23,482,107,20.95,389,123.9,1,1,1,46,21
C Grandhomme,33,31,479,59,19.95,321,149.22,0,3,3,27,29
T Visee,27,27,478,78,17.7,316,151.26,0,3,4,65,17
M Chapman,24,23,475,63,22.61,416,114.18,0,1,0,38,13
G Bailey,30,26,473,63,24.89,346,136.7,0,2,1,37,20
B Mendis,24,24,473,79,19.7,353,133.99,0,5,2,40,21
G Naib,45,37,472,56,17.48,393,120.1,0,1,3,33,22
A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32
P Seelaar,69,40,464,96,16,423,109.69,0,1,1,31,8
C Ervine,22,21,461,68,23.05,454,101.54,0,3,1,43,13
A Vala,26,24,460,68,23,427,107.72,0,2,0,39,13
D Malan,9,9,458,103,57.25,293,156.31,1,5,0,47,20
R Merwe,43,29,454,75,26.7,345,131.59,0,2,4,36,13
K Ali,29,28,453,50,16.17,482,93.98,0,1,2,48,12
M Gunathilaka,21,21,452,57,21.52,365,123.83,0,2,0,49,12
R Shahzad,22,21,449,54,24.94,404,111.13,0,1,2,37,13
U Ghani,19,19,445,73,24.72,407,109.33,0,3,0,44,12
N Kumar,18,16,434,83,31,336,129.16,0,3,1,34,13
M Shanaka,35,35,434,54,15.5,386,112.43,0,1,7,29,24
N Dickwella,23,22,429,68,19.5,309,138.83,0,1,2,57,8
M Tanveer,15,15,428,57,38.9,331,129.3,0,4,0,36,22
S Aziz,14,14,415,87,34.58,297,139.73,0,4,2,43,16
R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18
A Ilyas,22,22,408,60,22.66,356,114.6,0,2,1,47,7
T David,12,12,408,77,37.09,274,148.9,0,2,0,36,17
M Erasmus,16,14,407,72,37,293,138.9,0,4,0,33,20
W Tharanga,26,26,407,47,16.28,330,123.33,0,0,3,42,12
S Raza,32,30,406,59,13.53,384,105.72,0,1,0,34,8
K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15
R Cheema,24,24,389,72,17.68,314,123.88,0,2,5,33,28
S Baard,13,13,387,92,35.18,305,126.88,0,4,1,32,13
A Obanda,30,28,381,79,14.65,362,105.24,0,1,5,49,7
C Amini,23,18,377,60,26.92,324,116.35,0,2,2,16,13
M Mortaza,54,39,377,36,13.46,277,136.1,0,0,6,28,23
J Rasu,13,13,374,74,28.76,338,110.65,0,2,0,27,16
H Talat,14,14,371,63,28.53,309,120.06,0,2,1,35,5
J Jenner,17,17,365,71,24.33,299,122.07,0,3,2,24,14
P Moor,21,19,364,92,24.26,286,127.27,0,1,0,22,24
N Dhaliwal,12,11,361,69,40.11,291,124.05,0,3,0,22,16
L Ronchi,33,26,359,51,17.95,256,140.23,0,1,5,30,14
R Sandaruwan,10,10,358,103,39.77,216,165.74,1,2,2,29,24
S Bau,23,17,356,40,25.42,338,105.32,0,0,1,21,11
K Shah,26,22,351,79,18.47,340,103.23,0,2,3,26,10
S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11
S Chandramohan,12,12,348,66,31.63,292,119.17,0,3,3,33,15
D Bravo,20,18,340,43,20,317,107.25,0,0,3,28,13
J Vince,12,12,340,59,28.33,275,123.63,0,1,0,34,9
N Davin,16,16,335,54,22.33,216,155.09,0,1,1,33,15
S Edwards,29,22,334,42,23.85,229,145.85,0,0,1,33,6
A Ali,25,24,331,41,18.38,258,128.29,0,0,1,15,19
F Javed,15,15,330,61,22,212,155.66,0,2,1,45,11
S Thompson,41,30,328,56,14.9,254,129.13,0,1,1,23,14
A Kaleem,25,22,325,46,18.05,306,106.2,0,0,4,26,9
A Rath,20,19,321,44,18.88,344,93.31,0,0,1,31,2
N Vanua,25,22,321,54,22.92,211,152.13,0,1,4,12,23
T Head,16,15,319,48,26.58,245,130.2,0,0,0,19,10
T Seifert,19,18,316,84,18.58,228,138.59,0,1,2,22,21
B Stevens,17,17,316,44,19.75,315,100.31,0,0,1,30,6
G Delany,17,15,314,89,26.16,206,152.42,0,2,0,28,12
N Nipiko,14,14,312,62,26,297,105.05,0,2,1,16,13
N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17
R Powell,23,18,311,54,20.73,250,124.4,0,2,1,26,13
V Singh,12,12,311,57,25.91,309,100.64,0,1,1,27,7
C Brathwaite,41,27,310,37,14.76,274,113.13,0,0,3,13,22
H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19
S Vesawkar,17,16,310,40,23.84,313,99.04,0,0,0,25,7
N Ferraby,14,14,303,81,23.3,257,117.89,0,1,2,38,2
T Sajjad,12,11,301,68,33.44,216,139.35,0,1,1,24,14
L Siaka,26,22,296,39,14.8,271,109.22,0,0,4,26,7
K Khan,14,14,295,52,22.69,220,134.09,0,2,0,26,17
R Mutumbami,22,19,294,54,19.6,251,117.13,0,1,1,19,15
B Bhandari,27,23,292,58,17.17,262,111.45,0,2,1,23,12
C Lynn,18,16,291,44,19.4,221,131.67,0,0,1,28,14
D Airee,18,16,287,47,20.5,260,110.38,0,0,0,22,6
I Karim,16,16,286,71,22,299,95.65,0,2,2,30,2
M Shahzad,20,20,281,52,15.61,239,117.57,0,1,2,25,11
T Bruce,15,15,279,59,21.46,222,125.67,0,2,0,24,7
S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17
T Siriwardana,22,19,275,42,17.18,208,132.21,0,0,4,16,12
A Javed,22,18,271,76,18.06,242,111.98,0,1,1,17,15
R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19
P Matautaava,10,10,265,103,26.5,156,169.87,1,1,2,19,20
S Taylor,8,8,265,72,37.85,207,128.01,0,2,1,28,10
M Santner,39,27,263,37,15.47,205,128.29,0,0,3,22,7
I Wasim,41,29,261,47,13.05,180,145,0,0,6,28,7
D Rawlins,11,11,261,63,23.72,201,129.85,0,1,1,23,15
A Idrees,6,6,259,80,43.16,157,164.96,0,3,0,35,9
N Tarakai,12,12,258,90,21.5,210,122.85,0,1,1,21,13
D Silva,13,13,257,62,19.76,252,101.98,0,1,0,18,4
M Singh,12,12,255,42,23.18,222,114.86,0,0,0,15,5
R Burl,16,13,254,57,25.4,221,114.93,0,1,0,16,10
H Dussen,9,8,254,64,31.75,192,132.29,0,2,1,14,12
W Barkat,22,20,254,37,14.11,286,88.81,0,0,2,20,0
S Mire,9,8,253,94,31.62,196,129.08,0,2,0,23,13
G Dockrell,73,33,251,34,13.21,207,121.25,0,0,4,14,7
C Williams,13,12,249,68,27.66,210,118.57,0,1,1,15,10
J Kotze,12,12,245,101,22.27,193,126.94,1,0,1,21,13
M Rishwan,11,10,245,67,24.5,245,100,0,2,0,22,10
C Ackermann,11,11,243,43,30.37,196,123.97,0,0,0,18,5
M Kashif,10,9,242,53,48.4,215,112.55,0,2,0,14,13
M Leask,31,22,240,58,12,199,120.6,0,1,2,16,12
S Poynter,25,21,240,39,16,213,112.67,0,0,0,22,6
A Khan,30,27,239,31,11.95,234,102.13,0,0,4,19,4
A Ahmed,12,12,238,75,19.83,185,128.64,0,3,2,32,6
S Hope,13,11,238,55,21.63,175,136,0,2,1,24,10
M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9
F Couana,7,7,233,71,38.83,179,130.16,0,1,0,16,14
H Tector,14,12,233,60,25.88,176,132.38,0,1,0,20,5
B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9
H Gori,7,7,231,66,33,176,131.25,0,1,0,23,12
M Rizlan,15,12,229,38,32.71,218,105.04,0,0,0,14,10
R Gurbaz,7,7,227,79,32.42,164,138.41,0,2,2,19,13
C Bisson,14,14,226,54,18.83,177,127.68,0,1,3,24,5
S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9
I Udana,27,19,226,84,22.6,152,148.68,0,1,2,15,13
D Gunaratne,12,12,225,84,25,178,126.4,0,2,2,19,6
I Inam-ul-Haq,11,11,225,73,25,205,109.75,0,1,1,28,2
G Jayasuriya,16,14,225,40,16.07,203,110.83,0,0,0,17,8
S Sharif,10,10,225,53,22.5,171,131.57,0,1,2,32,5
C Walton,19,17,225,40,13.23,203,110.83,0,0,5,23,11
D Blampied,17,15,221,43,24.55,222,99.54,0,0,1,14,0
T Southee,66,30,220,39,12.22,150,146.66,0,0,4,14,15
C Jordan,43,25,216,36,15.42,166,130.12,0,0,2,16,11
M Rippon,18,11,216,42,30.85,192,112.5,0,0,2,15,3
K Kulasekara,58,30,215,31,10.23,184,116.84,0,0,4,14,7
E Munaweera,13,13,215,53,17.91,164,131.09,0,1,1,25,7
B Ward,13,12,215,58,23.88,160,134.37,0,1,1,8,15
S Prasanna,20,20,214,37,15.28,161,132.91,0,0,0,13,13
S Wickramasekara,5,5,214,104,71.33,104,205.76,1,1,0,17,19
H Arshad,10,10,211,68,30.14,154,137.01,0,1,0,15,7
H Sohail,14,13,210,52,19.09,204,102.94,0,2,1,16,3
K Nawaz,18,13,210,58,21,179,117.31,0,1,0,11,10
B Zalmai,5,4,208,111,69.33,109,190.82,1,0,0,16,16
G Shabber,17,14,208,58,18.9,182,114.28,0,1,0,24,4
B Perera,8,7,208,67,34.66,144,144.44,0,1,0,23,8
B Mendis,22,15,207,43,18.81,174,118.96,0,0,1,18,6
J Smit,12,10,206,59,25.75,128,160.93,0,1,0,10,14
A Faiz,10,10,202,45,22.44,179,112.84,0,0,0,14,6
J Butler,9,8,201,65,28.71,214,93.92,0,1,0,20,1
K Leverock,12,12,201,43,20.1,165,121.81,0,0,3,16,11
D Gondaria,11,9,199,85,28.42,157,126.75,0,1,0,12,6
R Panchal,9,8,199,71,39.8,185,107.56,0,1,0,9,7
S Kami,28,19,198,40,15.23,176,112.5,0,0,1,15,7
S Tanvir,57,25,196,41,11.52,164,119.51,0,0,2,16,9
Y Ali,9,9,196,57,32.66,183,107.1,0,1,1,11,9
A Sheikh,11,10,194,39,24.25,181,107.18,0,0,0,18,4
S Davizi,2,2,192,101,96,133,144.36,1,1,0,14,10
R Rohan,10,10,191,49,19.1,156,122.43,0,0,1,23,6
A Hassan,11,10,189,53,18.9,192,98.43,0,1,0,18,2
J Neesham,18,15,185,42,16.81,131,141.22,0,0,1,19,8
U Adam,11,10,185,53,20.55,149,124.16,0,1,1,19,6
X Marshall,13,13,183,36,14.07,185,98.91,0,0,2,13,6
M Hossain,14,13,183,34,20.33,173,105.78,0,0,1,10,5
M Rizwan,16,13,180,33,16.36,184,97.82,0,0,1,14,2
C Tommy,12,11,180,47,16.36,191,94.24,0,0,2,6,8
C Meschede,5,5,179,67,44.75,115,155.65,0,1,1,9,14
K Shah,7,7,176,72,29.33,170,103.52,0,1,1,21,4
M Naveed,31,24,176,27,12.57,147,119.72,0,0,3,17,8
M Marsh,11,11,175,36,21.87,151,115.89,0,0,0,7,9
K KC,25,16,173,40,15.72,126,137.3,0,0,2,9,12
N Sarwar,14,9,172,47,57.33,128,134.37,0,0,1,16,6
H Shah,9,8,172,40,21.5,168,102.38,0,0,0,18,2
G Elliott,17,15,171,27,15.54,157,108.91,0,0,0,12,2
S Singh,18,17,169,57,11.26,144,117.36,0,1,5,12,6
D Willey,28,19,166,29,13.83,126,131.74,0,0,1,8,10
T Sharma,8,8,164,49,23.42,160,102.5,0,0,1,12,6
R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4
T Latham,13,10,163,39,16.3,157,103.82,0,0,0,12,2
P Hennessy,8,7,162,71,23.14,132,122.72,0,1,1,11,7
N Param,8,7,160,72,32,118,135.59,0,1,0,12,6
R Chakabva,12,12,159,48,14.45,134,118.65,0,0,4,12,7
J Faulkner,24,18,159,41,14.45,138,115.21,0,0,0,7,5
M Henriques,11,8,159,62,31.8,122,130.32,0,2,0,8,7
A Mansale,14,14,159,38,11.35,151,105.29,0,0,4,14,5
M Arief,5,5,159,52,39.75,114,139.47,0,1,0,18,4
H Carlyon,9,8,156,50,19.5,131,119.08,0,1,1,21,3
H Klaasen,9,9,156,69,22.28,107,145.79,0,1,0,8,11
S Narine,51,23,155,30,10.33,138,112.31,0,0,2,13,5
N Greenwood,8,8,154,43,19.25,128,120.31,0,0,1,15,2
M Adair,17,14,152,38,15.2,118,128.81,0,0,1,8,7
N Collins,5,5,151,56,30.2,164,92.07,0,2,0,10,0
H Rutherford,8,7,151,62,21.57,105,143.8,0,1,1,12,9
N Coulter-Nile,28,15,150,34,13.63,120,125,0,0,3,10,10
I Ahmed,6,6,150,62,75,104,144.23,0,1,0,14,4
R Khan,45,22,149,33,13.54,124,120.16,0,0,4,9,9
V Chikkannaiah,7,7,148,70,24.66,167,88.62,0,1,0,10,2
W Fernando,10,10,148,37,14.8,156,94.87,0,0,1,9,3
O Bascome,11,11,147,37,13.36,147,100,0,0,1,12,8
C Wallace,19,14,146,27,18.25,122,119.67,0,0,1,14,2
K Janat,21,13,145,26,13.18,140,103.57,0,0,2,11,6
W Riaz,31,17,145,30,13.18,118,122.88,0,0,2,10,6
M Klinger,3,3,143,62,47.66,112,127.67,0,1,0,12,2
M Naim,3,3,143,81,47.66,107,133.64,0,1,0,17,3
E Khan,15,10,142,42,35.5,128,110.93,0,0,0,9,7
K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8
U Amin,14,9,142,47,15.77,123,115.44,0,0,3,15,4
F Afzal,9,8,141,59,20.14,140,100.71,0,1,0,11,6
S Ali,4,4,141,59,35.25,87,162.06,0,1,0,17,8
S Periyalwar,4,4,140,105,70,91,153.84,1,0,1,15,6
G Phillips,11,10,140,56,15.55,140,100,0,1,0,9,5
S Pokhriyal,5,4,140,79,35,131,106.87,0,1,0,23,2
R Shah,4,4,140,53,70,108,129.62,0,1,0,8,8
A Douglas,10,9,138,47,17.25,131,105.34,0,0,0,10,8
L Ferbrache,9,8,138,55,17.25,142,97.18,0,1,0,6,3
H Patel,7,6,137,44,27.4,104,131.73,0,0,0,17,3
R Tari,14,14,137,28,15.22,117,117.09,0,0,2,6,5
Y Ebrahim,3,3,137,72,68.5,97,141.23,0,1,0,14,5
M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2
F Khan,4,4,134,83,44.66,56,239.28,0,1,1,13,10
N Pathan,4,4,134,54,44.66,106,126.41,0,1,0,8,7
F Ashraf,27,18,133,21,11.08,110,120.9,0,0,4,7,8
C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5
A Ahmed,9,4,131,102,65.5,101,129.7,1,0,0,6,6
P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9
D D'Silva,10,8,130,29,32.5,146,89.04,0,0,1,9,0
S McKechnie,10,10,130,44,18.57,137,94.89,0,0,1,9,1
C Mutombodzi,13,12,129,32,14.33,133,96.99,0,0,2,9,2
S Malinga,79,30,128,27,7.11,153,83.66,0,0,6,9,4
H Walsh,13,9,128,28,16,129,99.22,0,0,0,8,3
M Stokes,9,7,127,29,18.14,152,83.55,0,0,0,10,0
N Shahzad,4,3,126,53,126,97,129.89,0,1,0,4,10
J Smuts,8,8,126,45,15.75,114,110.52,0,0,1,14,5
A Carey,25,13,125,37,13.88,101,123.76,0,0,0,10,4
A Mangal,9,9,124,40,20.66,78,158.97,0,0,0,10,8
M Asghar,4,4,124,45,31,91,136.26,0,0,0,13,5
S Muniandy,15,13,124,27,13.77,103,120.38,0,0,2,7,7
B Pai,4,4,124,52,31,141,87.94,0,1,0,6,1
R Ashwin,46,11,123,31,30.75,115,106.95,0,0,0,14,1
S Sharif,42,18,123,26,13.66,100,123,0,0,2,8,3
A Hawkins-Kay,16,13,122,27,15.25,136,89.7,0,0,1,8,0
K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3
M Syahadat,10,9,122,41,20.33,102,119.6,0,0,0,9,6
C Onwuzulike,9,9,122,46,15.25,126,96.82,0,0,2,5,5
S Khan,38,14,122,29,13.55,96,127.08,0,0,2,6,6
D Bracewell,18,10,121,44,24.2,83,145.78,0,0,2,6,9
K Pandya,18,9,121,26,24.2,92,131.52,0,0,0,8,6
I Kayes,14,13,119,36,9.15,134,88.8,0,0,4,14,3
A Onikoyi,9,8,119,49,14.87,144,82.63,0,0,1,8,4
S Cheema,5,5,118,47,23.6,97,121.64,0,0,0,12,5
J Taylor,30,15,118,21,13.11,92,128.26,0,0,1,10,6
M Khan,19,13,117,29,10.63,106,110.37,0,0,1,7,5
M Mithun,14,10,117,47,11.7,125,93.6,0,0,2,9,4
N Khushi,10,8,117,29,19.5,77,151.94,0,0,2,6,8
H Singh,7,6,117,44,39,102,114.7,0,0,0,6,3
A Dutta,8,8,116,33,14.5,114,101.75,0,0,0,8,5
K Motlhanka,7,7,115,59,16.42,123,93.49,0,1,0,11,2
S Sohail,7,5,115,33,115,97,118.55,0,0,0,10,2
K Dasan,3,3,114,74,38,108,105.55,0,1,0,10,2
S Kaveri,7,6,114,43,22.8,146,78.08,0,0,0,9,1
W Parnell,40,13,114,29,28.5,96,118.75,0,0,0,10,3
C Suri,7,7,113,44,18.83,121,93.38,0,0,0,10,2
M Abdulla,5,5,112,42,37.33,100,112,0,0,0,11,2
F Ahmed,4,4,112,62,56,72,155.55,0,1,1,6,8
J Malhotra,6,6,112,38,18.66,104,107.69,0,0,0,12,2
M Boota,16,12,112,20,14,100,112,0,0,1,7,5
M Muhammad,7,7,112,30,16,135,82.96,0,0,0,5,3
J Holder,17,11,111,26,12.33,84,132.14,0,0,2,10,4
I Butt,4,4,111,58,27.75,101,109.9,0,2,2,5,6
J Shannon,8,8,111,60,13.87,84,132.14,0,1,1,12,5
A Lark,5,4,110,43,27.5,121,90.9,0,0,1,15,0
T Gugten,39,11,109,40,15.57,81,134.56,0,0,1,4,6
M Saifuddin,13,9,108,39,18,95,113.68,0,0,0,9,3
O Bascome,11,11,107,22,10.7,117,91.45,0,0,0,12,3
S Ngoche,28,18,107,38,8.23,118,90.67,0,0,2,5,4
G Thompson,10,8,107,44,15.28,108,99.07,0,0,2,14,1
V Vijh,4,4,107,64,53.5,119,89.91,0,1,0,13,1
K Doriga,17,11,106,43,10.6,103,102.91,0,0,0,3,3
N Maiolo,8,7,106,39,17.66,104,101.92,0,0,0,11,2
M Dai,9,8,105,31,13.12,128,82.03,0,0,0,4,0
O Hairs,8,8,105,26,15,64,164.06,0,0,2,4,10
N Laegsgaard,9,8,105,39,15,96,109.37,0,0,0,11,2
M Mosehle,7,6,105,36,21,65,161.53,0,0,0,6,9
M Bhavsar,9,7,104,38,17.33,88,118.18,0,0,0,10,1
L Dunbar,2,2,104,104,104,62,167.74,1,0,1,5,10
S Ahmed,17,12,104,37,11.55,83,125.3,0,0,3,14,0
R Abdul,7,5,102,37,51,103,99.02,0,0,0,7,3
S Kumar,13,9,102,42,14.57,89,114.6,0,0,0,9,3
L Tucker,14,11,102,22,10.2,99,103.03,0,0,1,10,1
A Uddin,4,4,101,40,33.66,53,190.56,0,0,0,11,5
M Cooray,4,3,101,56,50.5,77,131.16,0,1,0,12,3
S Jora,6,6,101,53,20.2,83,121.68,0,1,1,5,4
A Lalcheta,17,10,101,20,12.62,82,123.17,0,0,0,9,4
M Nurji,6,5,101,36,50.5,59,171.18,0,0,0,8,6
T Perera,6,6,101,30,16.83,127,79.52,0,0,0,16,0
V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5
H Tariq,15,11,100,33,10,82,121.95,0,0,2,4,5
T Maruma,13,13,100,23,11.11,109,91.74,0,0,1,6,4
B Stephenson,3,3,100,48,33.33,72,138.88,0,0,0,9,7
B Dunk,5,5,99,32,19.8,69,143.47,0,0,0,8,6
B Leede,8,7,98,33,16.33,114,85.96,0,0,0,4,2
I Bhima,4,4,98,52,24.5,88,111.36,0,1,2,13,2
J Prakash,12,11,98,25,12.25,78,125.64,0,0,2,9,3
B McDermott,12,10,98,32,14,105,93.33,0,0,2,6,2
T Musakanda,6,6,98,43,16.33,80,122.5,0,0,2,7,2
B Fernando,3,3,97,78,48.5,73,132.87,0,1,0,10,3
D Mitchell,9,9,97,30,16.16,79,122.78,0,0,0,5,4
A Ramly,10,9,97,33,13.85,59,164.4,0,0,1,3,9
S Samarawickrama,7,7,97,32,13.85,93,104.3,0,0,1,9,0
A Staal,9,8,97,28,16.16,79,122.78,0,0,2,5,5
G Strydom,6,6,97,49,16.16,89,108.98,0,0,2,6,5
Z Ibrahim,13,11,97,27,12.12,89,108.98,0,0,2,7,5
A Raza,36,14,96,22,13.71,123,78.04,0,0,1,2,4
R Shigiwal,4,3,96,53,32,78,123.07,0,1,0,3,8
